"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"130","All Beauty College","Fort Mohave","www.allbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","18524.413223"
"131","All Beauty College","Lake Havasu City","www.allbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","18524.413223"
"132","Allan Hancock College","Santa Maria","www.hancockcollege.edu/","> 230","NULL","Public","Associate degree","26488.803135"
"133","Allegany College of Maryland","Cumberland","www.allegany.edu","> 230","NULL","Public","Associate degree","42028.923317"
"134","Allegheny College","Meadville","www.allegheny.edu","> 230","0.6776","Private nonprofit","Bachelor's degree","81798.063041"
"135","Allegheny Wesleyan College","Salem","awc.edu","> 230","NULL","Private nonprofit","Bachelor's degree","31900.40625"
"136","Allen College","Waterloo","www.allencollege.edu","> 230","0","Private nonprofit","Graduate degree","72391.3"
"137","Allen County Community College","Iola","www.allencc.edu","> 230","NULL","Public","Associate degree","40597.223793"
"138","Allen School-Brooklyn","Brooklyn","www.allenschool.edu","> 230","NULL","Private for-profit","Certificate degree","20295.594859"
"139","Allen School-Jamaica","Jamaica","www.allenschool.edu","> 230","NULL","Private for-profit","Certificate degree","20295.594859"
"140","Allen School-Phoenix","Phoenix","www.allenschool.edu","> 230","NULL","Private for-profit","Certificate degree","20295.594859"
"141","Allen University","Columbia","www.allenuniversity.edu/","> 230","NULL","Private nonprofit","Bachelor's degree","23028.261364"
"142","Alliance Computing Solutions","Flushing","www.acs.edu","> 230","NULL","Private for-profit","Certificate degree","13859.785714"
"143","Alliant International University-San Diego","San Diego","www.alliant.edu","> 230","0.8571","Private for-profit","Graduate degree","31048.253165"
"144","Allstate Hairstyling & Barber College","Cleveland","www.allstatehairstyling.com","> 230","NULL","Private for-profit","Certificate degree","13381.416667"
"145","Alma College","Alma","alma.edu","> 230","0.6795","Private nonprofit","Bachelor's degree","76698.632948"
"146","Alpena Community College","Alpena","www.alpenacc.edu","> 230","NULL","Public","Associate degree","36653.260292"
"147","Altierus Career College-Arlington","Arlington","https://www.altierus.org/campus/mid-cities","> 230","NULL","Private nonprofit","Associate degree","19118.858998"
"148","Altierus Career College-Atlanta West","Atlanta","https://www.altierus.org/campus/atlanta-west","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"149","Altierus Career College-Austin","Austin","https://www.altierus.org/campus/austin","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"150","Altierus Career College-Bissonnet","Houston","https://www.altierus.org/campus/houston-bissonnet","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"151","Altierus Career College-Chesapeake","Chesapeake","https://www.altierus.org/campus/chesapeake","> 230","NULL","Private nonprofit","Associate degree","19783.198178"
"152","Altierus Career College-Colorado Springs","Colorado Springs","https://www.altierus.org/campus/colorado-springs","> 230","NULL","Private nonprofit","Associate degree","18165.018106"
"153","Altierus Career College-Columbus","Gahanna","https://www.altierus.org/campus/columbus","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"154","Altierus Career College-Fort Worth South","Ft Worth","https://www.altierus.org/campus/fort-worth-south","> 230","NULL","Private nonprofit","Associate degree","18165.018106"
"155","Altierus Career College-Henderson","Henderson","https://www.altierus.org/campus/henderson","> 230","NULL","Private nonprofit","Associate degree","26209.777614"
"156","Altierus Career College-Houston Hobby","Houston","https://www.altierus.org/campus/houston-hobby","> 230","NULL","Private nonprofit","Certificate degree","18874.769352"
"157","Altierus Career College-Norcross","Norcross","https://www.altierus.org/campus/norcross","> 230","NULL","Private nonprofit","Associate degree","18200.345997"
"158","Altierus Career College-Orange Park","Orange Park","https://www.altierus.org/campus/orange-park","> 230","NULL","Private nonprofit","Bachelor's degree","13845.500867"
"159","Altierus Career College-San Antonio","San Antonio","https://www.altierus.org/campus/san-antonio","> 230","NULL","Private nonprofit","Certificate degree","18874.769352"
"160","Altierus Career College-Tacoma","Tacoma","https://www.altierus.org/campus/tacoma","> 230","NULL","Private nonprofit","Associate degree","28230.793934"
"161","Altierus Career College-Tampa","Tampa","https://www.altierus.org/campus/tampa","> 230","NULL","Private nonprofit","Graduate degree","13845.500867"
"162","Altierus Career College-Thornton","Thornton","https://www.altierus.org/campus/thornton","> 230","NULL","Private nonprofit","Associate degree","26384.558824"
"163","Altierus Career College-Tigard","Tigard","https://www.altierus.org/campus/tigard","> 230","NULL","Private nonprofit","Certificate degree","25061.775442"
"164","Altierus Career College-Woodbridge","Woodbridge","https://www.altierus.org/campus/woodbridge","> 230","NULL","Private nonprofit","Certificate degree","25061.775442"
"165","Altierus Career College Everett","Everett","https://www.altierus.org/campus/everett","> 230","NULL","Private nonprofit","Associate degree","28230.793934"
"166","Altierus Career Education-South Plainfield","South Plainfield","https://www.altierus.org/campus/south-plainfield","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"167","Altierus Career Education-Southfield","Southfield","https://www.altierus.org/campus/southfield","> 230","NULL","Private nonprofit","Certificate degree","18200.345997"
"168","Altoona Beauty School Inc","Altoona","WWW.ALTOONABEAUTYSCHOOL.COM","> 230","NULL","Private for-profit","Certificate degree","32875.860759"
"169","Alvernia University","Reading","www.alvernia.edu","> 230","0.745","Private nonprofit","Graduate degree","68130.406891"
"170","Alverno College","Milwaukee","www.alverno.edu","> 230","0.8022","Private nonprofit","Graduate degree","46672.616834"
"171","Alvin Community College","Alvin","www.alvincollege.edu","> 230","NULL","Public","Associate degree","32007.633803"
"172","Amarillo College","Amarillo","www.actx.edu","> 230","NULL","Public","Associate degree","31018.808506"
"173","Amberton University","Garland","www.amberton.edu","> 230","NULL","Private nonprofit","Graduate degree","34865.83871"
"174","Ambiance Beauty & Barber Academy Inc","Melbourne","www.ambiancebeautyandbarberacademy.com","> 230","NULL","Private for-profit","Certificate degree","14829.173913"
"175","Ambria College of Nursing","Hoffman Estates","ambria.edu","> 230","NULL","Private for-profit","Associate degree","46469.200627"
"176","American Academy McAllister Institute of Funeral Service","New York","www.funeraleducation.org","> 230","NULL","Private nonprofit","Associate degree","37021.68932"
"177","American Academy of Acupuncture and Oriental Medicine","Roseville","www.aaaom.edu","> 230","NULL","Private for-profit","Graduate degree","33963.5"
"178","American Academy of Art","Chicago","www.aaart.edu","> 230","NULL","Private nonprofit","Bachelor's degree","54148.781457"
"179","American Academy of Cosmetology","Orange Park","www.aacschool.com/","> 230","NULL","Private for-profit","Certificate degree","22024.635659"
"180","American Academy of Cosmetology-Delray Beach","Delray Beach","www.aacschool.com","> 230","NULL","Private for-profit","Certificate degree","22024.635659"
"181","American Academy of Dramatic Arts-Los Angeles","Los Angeles","www.aada.edu","> 230","0.7701","Private nonprofit","Associate degree","65846.883598"
"182","American Academy of Dramatic Arts-New York","New York","www.aada.edu","> 230","0.8159","Private nonprofit","Associate degree","65846.883598"
"183","American Academy of Personal Training","New York","www.aapt.edu","> 230","NULL","Private for-profit","Certificate degree","30927.487805"
"184","American Academy of Personal Training-Boston Campus","Boston","www.aapt.edu","> 230","NULL","Private for-profit","Certificate degree","30927.487805"
"185","American Advanced Technicians Institute","Hialeah","www.aati.edu","> 230","NULL","Private for-profit","Certificate degree","11931.144737"
"186","American Baptist College","Nashville","www.abcnash.edu","> 230","NULL","Private nonprofit","Bachelor's degree","21528.662338"
"187","American Baptist Seminary of the West","Berkeley","www.absw.edu","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"188","American Beauty Academy","Payson","www.americanbeauty.edu","> 230","NULL","Private for-profit","Certificate degree","28497.071429"
"189","American Beauty Academy-West Valley Campus","West Valley City","americanbeautyutah.com","> 230","NULL","Private for-profit","Certificate degree","28497.071429"
"190","American Beauty College","West Covina","www.americanbeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","21760.212329"
"191","American Beauty School","Bronx","www.americanbeautyschool.edu","> 230","NULL","Private for-profit","Certificate degree","16164.746667"
"192","American Broadcasting School-Oklahoma City","Oklahoma City","www.radioschool.com","> 230","NULL","Private for-profit","Certificate degree","19774.092025"
"193","American Broadcasting School-Online Program","Oklahoma City","radioschoolonline.com/homechat.htm","> 230","NULL","Private for-profit","Certificate degree","19774.092025"
"194","American Business and Technology University","St Joseph","abtu.edu","> 230","NULL","Private for-profit","Graduate degree","20558.583673"
"195","American Career College-Anaheim","Anaheim","americancareercollege.edu/","> 230","NULL","Private for-profit","Associate degree","23351.174192"
"196","American Career College-Long Beach","Long Beach","americancareercollege.edu/","> 230","NULL","Private for-profit","Certificate degree","23351.174192"
"197","American Career College-Los Angeles","Los Angeles","americancareercollege.edu/","> 230","NULL","Private for-profit","Associate degree","23351.174192"
"198","American Career College-Lynwood","Lynwood","americancareercollege.edu/","> 230","NULL","Private for-profit","Certificate degree","20191.353704"
"199","American Career College-Ontario","Ontario","americancareercollege.edu/","> 230","NULL","Private for-profit","Associate degree","28719.351038"
"200","American College for Medical Careers","Orlando","www.acmc.edu","> 230","NULL","Private for-profit","Bachelor's degree","20204.455128"
"201","American College of Acupuncture and Oriental Med","Houston","www.acaom.edu","> 230","NULL","Private for-profit","Graduate degree","NULL"
"202","American College of Barbering","Louisville","www.americancollegeofbarbering.com","> 230","NULL","Private for-profit","Certificate degree","19991.988636"
"203","American College of Hair Design Inc","Sedalia","www.americancollegeofhairdesign.com","> 230","NULL","Private for-profit","Certificate degree","20784.285714"
"204","American College of Hairstyling-Des Moines","Des Moines","www.americancollegeofhair.com","> 230","NULL","Private for-profit","Certificate degree","26315.787879"
"205","American College of Healthcare","Riverside","www.ach.edu","> 230","NULL","Private for-profit","Certificate degree","17649.338188"
"206","American College of Healthcare","Huntington Park","www.ach.edu","> 230","NULL","Private for-profit","Certificate degree","17649.338188"
"207","American College of Healthcare Sciences","Portland","www.achs.edu","> 230","1","Private for-profit","Graduate degree","27668.097122"
"208","American Conservatory Theater","San Francisco","www.act-sf.org","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"209","American Educational College","Bayamon","www.amedcopr.com","> 230","NULL","Private for-profit","Certificate degree","2480.7878086"
"210","American Film Institute Conservatory","Los Angeles","www.AFI.com","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"211","American Hair Academy","Mt. Pleasant","americanhairacademy.com","> 230","NULL","Private for-profit","Certificate degree","44801.189189"
"212","American Indian OIC Inc","Minneapolis","www.aioic.org","> 230","NULL","Private nonprofit","Certificate degree","14412.971429"
"213","American Institute-Clifton","CLIFTON","www.americaninstitute.com","> 230","NULL","Private for-profit","Certificate degree","17161.585565"
"214","American Institute-Margate","Margate","www.americaninstitute.com","> 230","NULL","Private for-profit","Certificate degree","15313.935294"
"215","American Institute-Toms River","Toms River","www.americaninstitute.com/","> 230","NULL","Private for-profit","Certificate degree","17161.585565"
"216","American Institute-West Hartford","West Hartford","americaninstitute.com","> 230","NULL","Private for-profit","Certificate degree","17161.585565"
"217","American Institute of Alternative Medicine","Columbus","www.aiam.edu","> 230","1","Private for-profit","Associate degree","30595.397906"
"218","American Institute of Alternative Medicine","East Brunswick","massageschoolnewjersey.com","> 230","NULL","Private for-profit","Certificate degree","PrivacySuppressed"
"219","American Institute of Beauty","Largo","www.aibschool.edu","> 230","NULL","Private for-profit","Certificate degree","18043.214112"
"220","American Institute of Interior Design","Fountain Hills","https://www.aiid.edu","> 230","NULL","Private for-profit","Certificate degree","46053"
"221","American Institute of Massage Therapy","Santa Ana","www.aimtinc.com","> 230","NULL","Private for-profit","Certificate degree","21549.8125"
"222","American Institute of Medical Sciences & Education","Piscataway","www.aimseducation.edu","> 230","NULL","Private for-profit","Certificate degree","39808.851528"
"223","American Institute of Medical Technology","Tulsa","www.aimt.edu","> 230","NULL","Private for-profit","Certificate degree","37821.9375"
"224","American Institute of Trucking","Phoenix","www.ait-schools.com","> 230","NULL","Private for-profit","Certificate degree","23413.086896"
"225","American InterContinental University","Schaumburg","www.aiuniv.edu","> 230","NULL","Private for-profit","Graduate degree","17387.876251"
