"","INSTNM","Total","crime"
"5333","The Temple-A Paul Mitchell Partner School",183,1
"5334","Center for Massage",46,1
"5335","Academy of Hair Design-Oklahoma City",46,0
"5336","Pulse Beauty Academy",99,0
"5337","Liberty Technical College",135,0
"5338","Toni & Guy Hairdressing Academy-Cranston",135,0
"5339","South Texas Training Center",170,0
"5340","Columbia College",357,2
"5341","Vermont College of Fine Arts",388,0
"5342","Advanced Welding Institute",42,0
"5343","Paul Mitchell the School-Memphis",177,0
"5344","Pima Medical Institute-East Valley",493,0
"5345","Virginia College-Charleston",388,0
"5346","Paul Mitchell the School-Cleveland",193,0
"5347","Paul Mitchell the School-Columbus",192,0
"5348","Empire Beauty School-Lauderhill",79,0
"5349","Empire Beauty School-Spring Lake Park",94,0
"5350","MediaTech Institute-Houston",99,3
"5351","Fortis College-Phoenix",156,0
"5352","Miller-Motte College-Raleigh",443,0
"5353","Lamson Institute",288,2
"5354","College of Hair Design-East Campus",40,0
"5355","Fortis College-Salt Lake City",490,0
"5356","Polytechnic University of Puerto Rico-Miami",137,0
"5357","Polytechnic University of Puerto Rico-Orlando",160,0
"5358","Ross Medical Education Center-Fort Wayne",123,0
"5359","Ross Medical Education Center-Portage",135,0
"5360","Geisinger Commonwealth School of Medicine",520,4
"5361","Josef's West Academy",68,0
"5362","Northeast Technology Center-Claremore",304,0
"5363","McCann School of Business & Technology",624,0
"5364","Salon Success Academy-Fontana",35,1
"5365","Salon Success Academy-Redlands",95,1
"5366","Strayer University-West Virginia",169,0
"5367","Vanguard College of Cosmetology-Baton Rouge",156,0
"5368","Beauty Schools of America-Homestead",261,0
"5369","South Texas Vocational Technical Institute-Brownsville",289,0
"5370","South Texas Vocational Technical Institute-Corpus Christi",345,0
"5371","L'Ecole Culinaire-Memphis",272,1
"5372","University of Minnesota-Rochester",472,1
"5373","Health And Style Institute",451,0
"5374","College of Business and Technology-Cutler Bay",126,0
"5375","Herzing University-Toledo",213,0
"5376","Capri Beauty College",43,0
"5377","Milan Institute-Bakersfield",341,2
"5378","Homestead Schools",150,0
"5379","Carrington College-Las Vegas",322,0
"5380","Carrington College-Reno",362,0
"5381","Chamberlain University-Florida",1021,1
"5382","Remington College-Columbia Campus",272,0
"5383","Washington Barber College Inc",63,0
"5384","InterCoast Colleges-Rancho Cordova",212,0
"5385","Horizon University",16,0
"5386","San Diego Culinary Institute",39,0
"5387","Beyond 21st Century Beauty Academy",60,0
"5388","Academy for Jewish Religion-California",53,0
"5389","Angeles College",156,0
"5390","Angeles Institute",96,0
"5391","Paul Mitchell the School-Temecula",340,0
"5392","European Academy of Cosmetology and Hairdressing",28,0
"5393","International Institute of Cosmetology",185,0
"5394","Florida School of Traditional Midwifery",51,0
"5395","Emerald Coast Technical College",196,0
"5396","Immokalee Technical College",398,0
"5397","American Academy of Cosmetology",83,1
"5398","University of Fort Lauderdale",77,0
"5399","Aviation Institute of Maintenance-Orlando",266,0
"5400","Summit Salon Academy",127,0
"5401","Summit Salon Academy-Gainesville",80,0
"5402","Tenaj Salon Institute",130,0
"5403","Keune Academy by 124",86,0
"5404","Pacific Rim Christian University",158,0
"5405","D & L Academy of Hair Design",24,0
"5406","Ambria College of Nursing",317,0
"5407","Midwestern Career College",563,0
"5408","Paul Mitchell the School-Normal",128,0
"5409","Innovations Design Academy",23,0
"5410","Aveda Fredric's Institute-Indianapolis",216,0
"5411","Summit Salon Academy-Anderson",102,0
"5412","Eric Fisher Academy",171,1
"5413","My Le's Beauty College",23,3
"5414","Blackstone Valley Vocational Regional School District",51,1
"5415","Southern Worcester County Regional Voc School District",36,2
"5416","L'esprit Academy",154,0
"5417","Marketti Academy of Cosmetology",56,0
"5418","CenterPoint Massage and Shiatsu Therapy School and Clinic",93,0
"5419","Avalon School of Cosmetology",18,0
"5420","Transformed Barber and Cosmetology Academy",38,0
"5421","Bitterroot School of Cosmetology",37,0
"5422","Montana Academy of Salons",82,0
"5423","National Career Institute",200,0
"5424","Toni & Guy Hairdressing Academy-Albuquerque",177,0
"5425","International Academy of Style",94,0
"5426","EDP School",159,0
"5427","New York Medical Career Training Center",310,0
"5428","Institute of Culinary Education",558,0
"5429","The Salon Professional Academy-Tonawanda",131,1
"5430","Onondaga School of Therapeutic Massage-Syracuse",34,0
"5431","Academy of Cosmetology and Esthetics NYC",87,0
"5432","Finger Lakes School of Massage",22,0
"5433","Four County Career Center",188,0
"5434","Vanity School of Cosmetology",39,0
"5435","Summit Salon Academy-Perrysburg",57,0
"5436","Portland Actors Conservatory",23,0
"5437","Somerset County Technology Center",70,0
"5438","Metro Beauty Academy",168,0
"5439","Academy for Careers and Technology",39,0
"5440","Aiken School of Cosmetology and Barbering",66,0
"5441","Love Beauty School Inc",67,0
"5442","Professional Career Training Institute",121,0
"5443","Houston International College Cardiotech Ultrasound School",71,0
"5444","DuVall's School of Cosmetology",54,0
"5445","Advanced Beauty College",48,0
"5446","Texas Beauty College",49,0
"5447","Avenue Five Institute",295,0
"5448","The Salon Professional Academy-Lewisville",97,0
"5449","Renaissance Academie",74,1
"5450","Bethel College",39,0
"5451","Institute of Advanced Medical Esthetics",18,0
"5452","Gary Manuel Aveda Institute",136,0
"5453","Northwest School of Wooden Boat Building",48,0
"5454","Pinchot University",30,0
"5455","The Salon Professional Academy-Onalaska",72,0
"5456","Brightwood College-Chula Vista",251,0
"5457","West Coast University-Orange County",2555,6
"5458","West Coast University-Ontario",1253,1
"5459","Virginia College-Augusta",840,0
"5460","Midwest Technical Institute-East Peoria",488,0
"5461","Paul Mitchell the School-Chicago",185,0
"5462","Brightwood College-Indianapolis",463,0
"5463","Dorsey Business Schools-Waterford Pontiac",130,0
"5464","Miller-Motte College-Fayetteville",681,0
"5465","European Massage Therapy School-Las Vegas",92,0
"5466","Miller-Motte Technical College-Columbus",642,0
"5467","Fortis College-Grand Prairie",215,0
"5468","The Art Institute of Virginia Beach",370,0
"5469","Bryant & Stratton College-Bayshore",353,0
"5470","Virginia College-Columbia",404,0
"5471","Fortis College-Indianapolis",334,0
"5472","Brightwood College-Arlington",246,0
"5473","Brightwood College-Charlotte",310,0
"5474","Empire Beauty School-E Memphis",116,0
"5475","Empire Beauty School-Nashville",77,0
"5476","Empire Beauty School-Jackson",60,0
"5477","Empire Beauty School-Springfield",133,0
"5478","Empire Beauty School-Paramus",84,0
"5479","Empire Beauty School-Speedway",218,0
"5480","Empire Beauty School-Morrow",252,0
"5481","Strayer University-Arkansas",297,0
"5482","Strayer University-Georgia",6829,0
"5483","Strayer University-Mississippi",359,0
"5484","Strayer University-South Carolina",2313,0
"5485","Strayer University-Texas",2094,2
"5486","The Art Institute of San Antonio",747,0
"5487","Empire Beauty School-S Memphis",92,0
"5488","Empire Beauty School-Charlotte",81,0
"5489","Empire Beauty School-E Greensboro",82,0
"5490","Empire Beauty School-Winston-Salem",70,1
"5491","Empire Beauty School-West Palm",80,0
"5492","Empire Beauty School-Pineville",127,0
"5493","Empire Beauty School-N Memphis",67,0
"5494","Virginia Tech Carilion School of Medicine",168,0
"5495","Broadview Entertainment Arts University",85,0
"5496","Bryant & Stratton College-Hampton",303,0
"5497","Paul Mitchell the School-Phoenix",117,0
"5498","All Beauty College",7,2
"5499","Trinity School of Health and Allied Sciences",113,0
"5500","Paul Mitchell the School-Modesto",282,0
"5501","Cosmo Beauty Academy",100,0
"5502","Paul Mitchell the School-Fresno",267,0
"5503","Unitek College",2715,2
"5504","Gurnick Academy of Medical Arts",1395,0
"5505","Southern California University SOMA",32,0
"5506","Paul Mitchell the School-East Bay",185,0
"5507","South Universityâ€“Richmond",652,0
"5508","South Universityâ€“Virginia Beach",564,0
"5509","Aveda Institute-Denver",417,0
"5510","Paul Mitchell the School-Colorado Springs",204,0
"5511","The Salon Professional Academy-Colorado Springs",69,0
"5512","Paul Mitchell the School-Delaware",103,0
"5513","Future-Tech Institute",83,0
"5514","Fred K Marchman Technical College",252,1
"5515","The Salon Professional Academy-Ft Myers",56,0
"5516","Unity Cosmetology College",25,0
"5517","Universal Spa Training Academy",101,0
"5518","The Salon Professional Academy-Evansville",114,0
"5519","Tri County Regional Vocational Technical High School",61,0
"5520","Compass College of Cinematic Arts",134,0
"5521","Nova Academy of Cosmetology",74,0
"5522","SAE Institute of Technology-New York",259,0
"5523","Sage School of Massage & Esthetics",36,0
"5524","Peloton College",73,3
"5525","Salon & Spa Institute",79,0
"5526","American Beauty Academy",20,0
"5527","Summit Salon Academy",108,0
"5528","Paul Mitchell the School-Milwaukee",98,0
"5529","Touro University Worldwide",1355,1
"5530","Touro University California",1478,0
"5531","The Chicago School of Professional Psychology at Washington DC",421,4
"5532","Touro University Nevada",1414,1
"5533","Herzing University-Kenosha",299,0
"5534","Herzing University-Brookfield",245,0
"5535","Texas A&M University-San Antonio",6337,1
"5536","Fortis Institute-Houston",330,0
"5537","Southern Careers Institute-Brownsville",362,0
"5538","Southern Careers Institute-Harlingen",411,0
"5539","Kenneth Shuler School of Cosmetology-Florence",160,0
"5540","Fortis College-Columbia",348,0
"5541","California University of Management and Sciences",223,0
"5542","Ross Medical Education Center-Davison",100,0
"5543","Ross Medical Education Center-Granger",156,0
"5544","Ross Medical Education Center-Niles",139,0
"5545","Ross Medical Education Center-Canton",115,0
"5546","Pima Medical Institute-Houston",993,1
"5547","Illinois Media School-Chicago Campus",109,2
"5548","South Texas Vocational Technical Institute-San Antonio",526,1
"5549","Concorde Career College-Dallas",728,0
"5550","Concorde Career Institute-Orlando",420,1
"5551","Concorde Career College-San Antonio",692,0
"5552","Ecotech Institute",280,0
"5553","Virginia International University",445,0
"5554","Geisinger-Lewistown Hospital School of Nursing",31,0
"5555","Moreno Valley College",9914,1
"5556","Brittany Beauty Academy",103,0
"5557","Onondaga School of Therapeutic Massage-Rochester",61,0
"5558","Norco College",10277,1
"5559","Dorsey Business Schools-Saginaw",116,0
"5560","Milan Institute of Cosmetology-La Quinta",104,0
"5561","Milan Institute-Nampa",99,0
"5562","Milan Institute of Cosmetology-El Paso",261,0
"5563","Universal Technical Institute - Dallas Fort Worth",1167,1
"5564","Finger Lakes School of Massage",39,0
"5565","Salter School of Nursing and Allied Health",113,0
"5566","Harris School of Business-Upper Darby Campus",578,0
"5567","Cortiva Institute-New Jersey",42,0
"5568","ICPR Junior College-Manati",380,0
"5569","Artistic Nails and Beauty Academy-Lakeland",145,0
"5570","American Sentinel University",2637,0
"5571","Tribeca Flashpoint College",314,0
"5572","Hawaii Medical College",622,0
"5573","Carolina College of Hair Design",45,0
"5574","Virginia College-Baton Rouge",627,0
"5575","Remington College-Heathrow Campus",267,0
"5576","College of Massage Therapy",28,0
"5577","Miller-Motte College-Jacksonville",477,0
"5578","Miller-Motte Technical College-Augusta",474,0
"5579","Miller-Motte Technical College-Conway",1020,0
"5580","Virginia College-Macon",298,0
"5581","Virginia College-Spartanburg",274,0
"5582","Aveda Institute-Portland",267,0
"5583","Chamberlain University-Virginia",501,0
"5584","Stevens-Henager College",259,1
"5585","Penrose Academy",224,0
"5586","Virginia College-Richmond",440,0
"5587","Skin Institute",72,0
"5588","Beauty Academy of South Florida",241,0
"5589","Ogle School Hair Skin Nails-North Dallas",190,0
"5590","The Salon Professional Academy-North Little Rock",95,0
"5591","The Salon Professional Academy-St Charles",131,0
"5592","American College for Medical Careers",481,0
"5593","Mildred Elley-New York Campus",1077,0
"5594","Carolina College of Biblical Studies",193,0
"5595","Allstate Hairstyling & Barber College",46,0
"5596","Oxford Graduate School",90,0
"5597","Jung Tao School of Classical Chinese Medicine",60,0
"5598","New York Film Academy",1487,3
"5599","International College of Cosmetology",159,0
"5600","Bella Capelli Academy",181,0
"5601","Institute of Medical Careers",159,0
"5602","Toni & Guy Hairdressing Academy-Modesto",7,0
"5603","Flagler Technical Institute",73,0
"5604","Galaxy Medical College",14,0
"5605","American Medical Sciences Center",105,0
"5606","Mandalyn Academy",87,0
"5607","Jose Maria Vargas University",313,0
"5608","Laird Institute of Spa Therapy",47,0
"5609","D A Dorsey Technical College",227,6
"5610","Keweenaw Bay Ojibwa Community College",98,0
"5611","Meridian Institute of Surgical Assisting",576,0
"5612","Mauna Loa Helicopters",17,0
"5613","Acaydia School of Aesthetics",88,0
"5614","Manhattan Institute",634,0
"5615","Cosmetic Arts Institute",17,0
"5616","Holistic Massage Training Institute",59,0
"5617","Diamonds Cosmetology College",47,0
"5618","Northern Virginia School of Therapeutic Massage",129,0
"5619","Paul Mitchell the School-St Louis",191,0
"5620","Advanced Training Institute",448,0
"5621","Shepherds Theological Seminary",93,0
"5622","Taylor Andrews Academy of Hair Design-West Jordan",195,0
"5623","Santa Ana Beauty Academy",21,0
"5624","Grace College of Divinity",144,0
"5625","Cosmetology College of Franklin County",15,0
"5626","The Salon Professional Academy",22,1
"5627","Aveda Institute-New Mexico",85,0
"5628","Nashville Barber and Style Academy",36,0
"5629","American Trade School",80,0
"5630","Estelle Skin Care and Spa Institute",61,0
"5631","Paul Mitchell the School-Honolulu",133,0
"5632","Elite Cosmetology School",88,0
"5633","American Technical Institute",7,0
"5634","Bergin University of Canine Studies",80,1
"5635","Aveda Institute-Boise",62,0
"5636","Pima Medical Institute-Aurora",257,0
"5637","Capilo School of Hair Design",126,0
"5638","Pure Aesthetics",45,0
"5639","Lindsey Institute of Cosmetology",55,0
"5640","The Salon Professional Academy",18,1
"5641","Buckner Barber School",23,0
"5642","Simmons College of Kentucky",216,0
"5643","Atelier Esthetique Institute of Esthetics",115,0
"5644","Advanced College of Cosmetology",21,0
"5645","North American University",568,4
"5646","Entourage Institute of Beauty and Esthetics",19,0
"5647","United Beauty College",23,1
"5648","Cinta Aveda Institute",240,8
"5649","Long Island Nail & Skin Care Institute",135,0
"5650","Southern California Health Institute",212,0
"5651","Best Care College",48,0
"5652","First Class Cosmetology School",48,0
"5653","Millennia Atlantic University",172,0
"5654","Abcott Institute",151,0
"5655","The Salon Professional Academy-Kenosha",89,0
"5656","Paul Mitchell the School-Indianapolis",165,0
"5657","Taylor Andrews Academy-St George",132,0
"5658","Protege Academy",58,0
"5659","Colorado Academy of Veterinary Technology",109,0
"5660","Northeast Technical Institute",351,0
"5661","Elite School of Cosmetology",62,0
"5662","Paul Mitchell the School-Las Vegas",265,0
"5663","Summit Salon Academy-Kokomo",86,0
"5664","Florida Academy",153,0
"5665","Institute for Doctoral Studies in the Visual Arts",80,0
"5666","State Career College",135,0
"5667","Academy for Salon Professionals",85,0
"5668","Paul Mitchell the School-Spokane",173,0
"5669","National Personal Training Institute of Colorado",66,0
"5670","National Personal Training Institute of Colorado",37,0
"5671","International College of Beauty Arts & Sciences",108,0
"5672","The Salon Professional Academy-Shorewood",71,1
"5673","John Paul the Great Catholic University",329,4
"5674","Independence University",8605,0
"5675","National American University-Tulsa",172,0
"5676","National American University-Centennial",176,0
"5677","National American University-Colorado Springs South",152,0
"5678","Salter College-Chicopee",15,0
"5679","Chamberlain University-Missouri",546,0
"5680","Chamberlain University-Texas",729,1
"5681","Continental School of Beauty Culture-Mattydale",249,0
"5682","Carrington College-Pomona",229,0
"5683","Paul Mitchell the School-Columbia",225,0
"5684","Paul Mitchell the School-Charleston",186,0
"5685","Kenneth Shuler School of Cosmetology-Greenville",140,0
"5686","South University-Accelerated Graduate Programs",NA,0
"5687","South University-Novi",431,0
"5688","Northwest College-Eugene",168,0
"5689","Northwest College-Tualatin",47,0
"5690","Trend Setters' Academy of Beauty Culture-Louisville",44,0
"5691","CET-Soledad",122,0
"5692","United Education Institute-UEI College San Marcos",312,0
"5693","Vanguard College of Cosmetology-Metairie",204,0
"5694","United Education Institute-Anaheim",643,1
"5695","New England Tractor Trailer Training School of Massachusetts",449,0
"5696","Utah College of Massage Therapy-Vegas",319,0
"5697","Utah College of Massage Therapy-Tempe",273,0
"5698","Utah College of Massage Therapy-Phoenix",383,0
"5699","Utah College of Massage Therapy-Westminster",119,0
"5700","Utah College of Massage Therapy-Aurora",173,0
"5701","Dewey University-Manati",302,0
"5702","Baltimore School of Massage-York",78,0
"5703","Allen School-Phoenix",31,0
"5704","Oklahoma Technical College",150,1
"5705","Midwest Technical Institute-Moline",308,0
"5706","Unitech Training Academy-Alexandria",82,0
"5707","Unitech Training Academy-Lake Charles",84,0
"5708","Aveda Institute-Los Angeles",159,0
"5709","UEI College-Riverside",629,1
"5710","WellSpring School of Allied Health-Lawrence",24,0
"5711","Manuel and Theresa's School of Hair Design-Victoria",22,0
"5712","Tricoci University of Beauty Culture-Chicago NE",92,0
"5713","Azusa Pacific University College",2339,0
"5714","CollegeAmerica-Phoenix",512,0
"5715","Stevens-Henager College",111,1
"5716","Avalon School of Cosmetology-Phoenix",342,0
"5717","Avalon School of Cosmetology-Layton",175,0
"5718","Hair Design Institute",42,0
"5719","Hair Design Institute",82,0
"5720","All-State Career School-Allied Health Campus",355,0
"5721","Aveda Institute-Des Moines",138,0
"5722","Fortis Institute-Lawrenceville",234,0
"5723","Relay Graduate School of Education",3186,0
"5724","Miller-Motte Technical College-Macon",428,0
"5725","International Culinary Center-California",121,0
"5726","Fortis College-Montgomery",207,0
"5727","The Santa Barbara and Ventura Colleges of Law at Santa Barbara",77,0
"5728","Marian Health Careers Center-Van Nuys Campus",144,0
"5729","Milan Institute-Las Vegas",221,1
"5730","Virginia College-Savannah",535,0
"5731","Virginia College-Columbus",527,0
"5732","New York School of Esthetics & Day Spa",105,0
"5733","Panache Academy of Beauty",49,0
"5734","ASI Career Institute",57,0
"5735","Midwest Technical Institute-Ridgeland",526,0
"5736","Christine Valmy International School of Esthetics & Cosmetology",116,0
"5737","City College-Hollywood",255,1
"5738","Paul Mitchell the School-Arlington",300,0
"5739","Rocky Mountain University of Health Professions",856,0
"5740","Christie's Education",83,0
"5741","Palmetto Beauty School",19,0
"5742","Paul Mitchell the School-Fort Myers",121,0
"5743","Paul Mitchell the School-Raleigh",139,0
"5744","Stella and Charles Guttman Community College",1066,0
"5745","Lil Lou's Beauty and Barber College LLC",85,0
"5746","Virginia College-Tulsa",41,0
"5747","Criswell College",264,1
"5748","Virginia College-Knoxville",453,0
"5749","Beverly Hills Design Institute",18,0
"5750","Reflections Academy of Beauty",14,0
"5751","UCAS Univeristy of Cosmetology Arts & Sciences-La Joya",60,0
"5752","Bryant & Stratton College-Akron",88,0
"5753","Annenberg School of Nursing",7,0
"5754","American Medical Academy",371,0
"5755","Tooele Technical College",446,0
"5756","Chamberlain University-Georgia",997,0
"5757","Chamberlain University-Indiana",208,0
"5758","Carrington College-Mesquite",107,0
"5759","Virginia College-Shreveport",566,0
"5760","Tulsa Welding School-Jacksonville",182,0
"5761","Empire Beauty School-Virginia Beach",146,0
"5762","Ross Medical Education Center-Morgantown",51,0
"5763","Paul Mitchell the School-Ogden",148,0
"5764","Golf Academy of America-Dallas",109,0
"5765","Utah College of Massage Therapy-Dallas",291,0
"5766","Miami Ad School-New York",110,0
"5767","Larry's Barber College",140,0
"5768","Futura Career Institute",191,0
"5769","Flair Beauty College",40,0
"5770","Tri-State Institute of Hair Design",36,0
"5771","Vogue College of Cosmetology-San Antonio Fredericksburg",94,0
"5772","Vogue College of Cosmetology",113,0
"5773","Tomorrow's Image Barber And Beauty Academy of Virginia",15,0
"5774","College of International Esthetics Inc",111,0
"5775","Medical Allied Career Center",86,0
"5776","Bais HaMedrash and Mesivta of Baltimore",77,0
"5777","Long Island Barber Institute",44,0
"5778","Salon Institute-Toledo Campus",75,0
"5779","Curve Metric School of Hair Design",41,0
"5780","Athena Career Academy",219,2
"5781","Yeshiva Gedolah Zichron Leyma",21,0
"5782","The Barber School",125,1
"5783","Be'er Yaakov Talmudic Seminary",510,0
"5784","RGV Careers",433,0
"5785","Alexander Academy",74,0
"5786","LeMelange Academy of Hair",58,0
"5787","Aveda Institute-Tucson",148,0
"5788","Ambiance Beauty & Barber Academy Inc",34,0
"5789","Diamond Beauty College",167,0
"5790","Unitek College",159,2
"5791","University Academy of Hair Design",50,0
"5792","Florida Institute of Recording Sound and Technology",285,0
"5793","New Dimensions Beauty Academy Inc",62,0
"5794","Paul Mitchell the School-Reno",210,0
"5795","Boise Barber College",53,0
"5796","Austin Kade Academy",115,0
"5797","Aesthetic Science Institute",70,0
"5798","Elaine Sterling Institute",235,0
"5799","Wade Gordon Hairdressing Academy",93,6
"5800","Mitsu Sato Hair Academy",35,0
"5801","SAE Institute of Technology-Los Angeles",145,0
"5802","Florida Vocational Institute",502,0
"5803","SAE Institute of Technology-Atlanta",374,0
"5804","Academy di Firenze",15,0
"5805","SAE Institute of Technology-Miami",117,0
"5806","Paul Mitchell the School-Overland Park",198,0
"5807","Medspa Academies",166,0
"5808","Brighton Institute of Cosmetology",36,0
"5809","West Coast University-Dallas",627,1
"5810","National American University-Bellevue",98,0
"5811","National American University-Mesquite",105,0
"5812","Empire Beauty School-Savannah",93,0
"5813","Ogle School Hair Skin Nails-Denton",148,0
"5814","Empire Beauty School-West Greensboro",90,0
"5815","California College San Diego",327,0
"5816","Jolie Hair and Beauty Academy-Northfield",153,1
"5817","Hays Academy of Hair Design",50,0
"5818","Bellus Academy",191,0
"5819","MotoRing Technical Training Institute",14,0
"5820","Columbia College",160,2
"5821","Unitek College",249,2
"5822","Medical Career Institute",114,0
"5823","Advance Beauty Techs Academy",81,2
"5824","Montage Academy",90,0
"5825","Brand College",29,0
"5826","Hinton Barber and Beauty College",76,0
"5827","Advanced Career Institute",352,0
"5828","Digital Film Academy",114,0
"5829","MyComputerCareer.edu-Raleigh",1358,0
"5830","Kaplan University-Augusta Campus",469,0
"5831","South University-Austin",426,0
"5832","South University-Cleveland",371,0
"5833","Virginia College-Florence",345,0
"5834","Ogle School Hair Skin Nails-San Antonio",254,0
"5835","Elizabethtown College School of Continuing and Professional Studies",425,0
"5836","Ideal Beauty Academy",10,0
"5837","Minnesota School of Cosmetology-Plymouth Campus",101,0
"5838","Mercyhurst University-North East Campus",793,6
"5839","Platt College-Riverside",524,0
"5840","Savannah Law School",130,0
"5841","Empire Beauty School-Glen Burnie",112,0
"5842","International School of Cosmetology-Toni & Guy Hairdressing Academy",66,0
"5843","United Education Institute-UEI College Stockton",492,0
"5844","Vatterott College-Fairview Heights",238,0
"5845","Ross Medical Education Center-Dayton",81,0
"5846","Ross Medical Education Center-Ontario",83,0
"5847","Ross Medical Education Center-Bowling Green",94,1
"5848","Rasmussen College-Kansas",376,0
"5849","Columbia Institute",95,0
"5850","School of Missionary Aviation Technology",31,0
"5851","Ace Cosmetology and Barber Training Center",62,1
"5852","California Miramar University",267,0
"5853","Rocky Vista University",779,0
"5854","Virginia College-Greensboro",401,0
"5855","The College of Health Care Professions-Dallas",56,0
"5856","The College of Health Care Professions-Fort Worth",503,0
"5857","Shear Finesse Hairstyling Academy",23,0
"5858","Miami Media School",91,0
"5859","Academy of Salon Professionals",53,0
"5860","CyberTex Institute of Technology",89,0
"5861","New England Tractor Trailer Training School of CT-Bridgeport",200,0
"5862","Gemini School of Visual Arts & Communication",18,0
"5863","Designer Barber & Stylist School",67,0
"5864","Paul Mitchell the School-Woodbridge",126,0
"5865","College of the Muscogee Nation",227,0
"5866","The Salon Professional Academy-Huntsville",57,0
"5867","Aspen Beauty Academy of Laurel",59,0
"5868","M T Training Center",97,0
"5869","Berks Career & Technology Center",44,0
"5870","Future Generations University",20,0
"5871","Carthage R9 School District-Carthage Technical Center",21,0
"5872","Grace Mission University",202,0
"5873","PCCTI IT and Healthcare",347,0
"5874","Sotheby's Institute of Art-NY",268,0
"5875","Top Nails & Hair Beauty School",30,0
"5876","Santa Ana Beauty College",273,0
"5877","Shepherds College",69,0
"5878","Woodruff Medical Training and Testing",79,0
"5879","Helms College",256,0
"5880","Ukiah Adult School",37,0
"5881","Riverside County Office of Education-School of Career Education",143,0
"5882","Mid-South Christian College",19,0
"5883","New York Institute of Beauty",165,0
"5884","Ultrasound Medical Institute",89,0
"5885","Xavier College School of Nursing",73,1
"5886","Lawrence & Company College of Cosmetology",54,0
"5887","Kaizen Beauty Academy",35,0
"5888","Southern Texas Careers Academy",75,0
"5889","Sharp Edgez Barber Institute",105,0
"5890","The Salon Professional Academy-Nashville",36,0
"5891","Prestige Health & Beauty Sciences Academy",45,0
"5892","Grace College of Barbering",11,0
"5893","California Career Institute",179,1
"5894","Cosmo Factory Cosmetology Academy",34,0
"5895","Grace School of Theology",397,0
"5896","Yeshiva Gedolah Kesser Torah",71,0
"5897","Universal Training Institute",140,0
"5898","Yeshiva Yesodei Hatorah",65,0
"5899","Rizzieri Institute",62,0
"5900","Bonnie Joseph Academy of Cosmetology & Barbering",8,0
"5901","Healthcare Training Institute",47,0
"5902","W Academy of Salon and Spa",88,0
"5903","Boca Beauty Academy",84,0
"5904","Paul Mitchell the School-Jersey Shore",115,0
"5905","City Pointe Beauty Academy",93,0
"5906","The Chrysm Institute of Esthetics",126,2
"5907","National Personal Training Institute of Columbus",41,0
"5908","Toni & Guy Hairdressing Academy-Manteca",9,0
"5909","Belle Academy of Cosmetology",12,0
"5910","Empire Beauty School-Augusta",76,0
"5911","South University-High Point",378,0
"5912","Empire Beauty School-Vernon Hills",77,0
"5913","Empire Beauty School-Stone Park",128,0
"5914","Empire Beauty School-Rochester",76,0
"5915","Ross Medical Education Center-Kokomo",91,0
"5916","Ross Medical Education Center-Erlanger",61,0
"5917","Ross Medical Education Center-Charleston",129,1
"5918","L'Ecole Culinaire-Kansas City",124,0
"5919","Utah College of Massage Therapy-Houston",277,0
"5920","InterCoast Colleges-Fairfield",205,0
"5921","Vatterott College-ex'treme Institute by Nelly-St Louis",245,0
"5922","Southern Careers Institute-San Antonio",428,0
"5923","Milan Institute-Merced",253,1
"5924","Midwest Technical Institute-Springfield",313,0
"5925","Finger Lakes School of Massage",32,0
"5926","Augusta University",8220,22
"5927","Middle Georgia State University",7341,6
"5928","Trenz Beauty Academy",125,1
"5929","Paul Mitchell the School-Denver",209,0
"5930","Academy of Interactive Entertainment",142,0
"5931","Arrojo Cosmetology School",66,0
"5932","Cosmetology Academy of Texarkana",67,0
"5933","Virginia Baptist College",258,0
"5934","Lynnes Welding Training",23,0
"5935","Aviation Institute of Maintenance-Las Vegas",284,0
"5936","UEI College-Bakersfield",840,1
"5937","National American University-Lewisville",107,0
"5938","National American University-Georgetown",138,0
"5939","National American University-Richardson",150,0
"5940","National American University-Rochester",81,0
"5941","National American University-Indianapolis",96,0
"5942","DeVry College of New York",1528,0
"5943","DeVry University-Arizona",672,0
"5944","DeVry University-California",2980,0
"5945","DeVry University-Colorado",221,0
"5946","DeVry University-Florida",976,1
"5947","DeVry University-Georgia",1341,0
"5948","DeVry University-Illinois",16964,0
"5949","DeVry University-Indiana",86,0
"5950","DeVry University-Missouri",191,0
"5951","DeVry University-Nevada",171,0
"5952","DeVry University-New Jersey",578,0
"5953","DeVry University-North Carolina",197,0
"5954","DeVry University-Ohio",1096,0
"5955","DeVry University-Pennsylvania",401,0
"5956","DeVry University-Tennessee",99,0
"5957","DeVry University-Texas",780,1
"5958","DeVry University-Virginia",436,0
"5959","University of North Georgia",18782,2
"5960","South Georgia State College",2540,1
"5961","Florida Polytechnic University",1456,4
"5962","American Institute-Toms River",383,0
"5963","The Healthcare Institute",90,0
"5964","Alamo City Barber College",175,0
"5965","Arizona College-Mesa",618,0
"5966","American College of Healthcare",46,0
"5967","Antioch College",133,3
"5968","Texas A & M University-Central Texas",2575,0
"5969","Central Georgia Technical College",8045,4
"5970","Barber School of Pittsburgh",78,0
"5971","Innovate Salon Academy",135,0
"5972","Louisiana Delta Community College",3666,1
"5973","The Fab School",172,1
"5974","Networks Barber College",45,0
"5975","JB's Hair Design and Barber College",60,0
"5976","Virginia College-Lubbock",402,0
"5977","Paul Mitchell the School-Lombard",144,0
"5978","Paul Mitchell the School-Greenville",182,0
