"","INSTNM","Total","crime"
"423","Shasta School of Cosmetology",71,0
"424","University of Redlands",4898,25
"425","College of the Redwoods",4399,4
"426","Salon Success Academy-Upland",162,0
"427","Salon Success Academy-Corona",79,1
"428","Rio Hondo College",19948,12
"429","Riverside City College",20863,19
"430","Argosy University-San Francisco Bay Area",266,0
"431","Rosemead Beauty School",335,0
"432","Dongguk University-Los Angeles",162,0
"433","Sacramento City College",21323,10
"434","Saddleback College",19783,6
"435","Samuel Merritt University",2141,2
"436","San Diego City College",15569,14
"437","Golf Academy of America-San Diego",118,0
"438","San Diego Mesa College",23532,11
"439","San Diego Miramar College",15692,5
"440","San Diego State University",35158,84
"441","University of San Diego",8905,35
"442","San Francisco Art Institute",433,1
"443","San Francisco Conservatory of Music",414,1
"444","San Francisco State University",29758,49
"445","San Francisco Theological Seminary",159,0
"446","University of San Francisco",11063,20
"447","San Joaquin College of Law",170,0
"448","San Joaquin Delta College",17849,14
"449","San Joaquin Valley College-Visalia",5239,14
"450","William Jessup University",1504,10
"451","San Jose City College",9336,10
"452","San Jose State University",35835,43
"453","College of San Mateo",9263,2
"454","Santa Barbara Business College-Bakersfield",332,1
"455","Santa Barbara Business College-Santa Maria",78,0
"456","Santa Barbara City College",16385,7
"457","Santa Clara University",8629,6
"458","Santa Monica College",29760,11
"459","Santa Rosa Junior College",20671,9
"460","Saybrook University",685,0
"461","Scripps College",1083,18
"462","College of the Sequoias",12277,17
"463","Shasta Bible College and Graduate School",55,1
"464","Shasta College",9160,4
"465","Sierra College",18221,3
"466","Sierra College of Beauty",137,1
"467","Trinity Law School",217,0
"468","Simpson University",903,3
"469","College of the Siskiyous",2111,0
"470","Charles A Jones Career and Education Center",347,0
"471","Skyline College",9235,3
"472","San Bernardino Valley College",13892,26
"473","Saint Mary's College of California",3913,25
"474","Solano Community College",9625,7
"475","Sonoma State University",9481,45
"476","South Baylo University",522,1
"477","South Coast College",263,0
"478","Vanguard University of Southern California",2116,8
"479","Concorde Career College-Garden Grove",577,0
"480","Southwestern College",18413,16
"481","Starr King School for the Ministry",87,0
"482","Marshall B Ketchum University",618,1
"483","Southern California Institute of Architecture",514,2
"484","University of Southern California",45687,60
"485","Southwestern Law School",784,0
"486","Taft College",6260,3
"487","Claremont School of Theology",393,2
"488","Thomas Aquinas College",369,1
"489","Epic Bible College",172,0
"490","United Education Institute-Huntington Park Campus",658,2
"491","Concorde Career College-San Bernardino",617,0
"492","Concorde Career College-North Hollywood",671,0
"493","Ventura College",13174,6
"494","The Santa Barbara and Ventura Colleges of Law at Ventura",109,0
"495","Victor Valley College",11971,7
"496","Berkeley City College",6356,1
"497","Walden University",49680,0
"498","Waynes College of Beauty",26,0
"499","West Hills College-Coalinga",3550,3
"500","West Los Angeles College",10477,2
"501","West Valley College",7779,7
"502","Carrington College-Sacramento",1124,0
"503","Westminster Theological Seminary in California",113,1
"504","Westmont College",1300,3
"505","Whittier College",1987,13
"506","Woodbury University",1160,4
"507","The Wright Institute",506,0
"508","Western State College of Law at Argosy University",409,1
"509","Thomas Jefferson School of Law",569,1
"510","Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary",143,0
"511","Yuba College",5529,10
"512","The Salon Professional Academy-Grand Junction",62,0
"513","Adams State University",3314,6
"514","Aims Community College",5982,0
"515","Arapahoe Community College",12421,3
"516","Bel-Rea Institute of Animal Technology",321,0
"517","University of Colorado Denver/Anschutz Medical Campus",24839,60
"518","University of Colorado Colorado Springs",12932,14
"519","Spartan College of Aeronautics and Technology",319,4
"520","University of Colorado Boulder",35338,64
"521","Colorado Christian University",7398,8
"522","Colorado College",2118,25
"523","Concorde Career College-Aurora",676,0
"524","The Art Institute of Colorado",611,11
"525","Colorado Mountain College",5934,1
"526","Colorado Northwestern Community College",1201,2
"527","Colorado School of Mines",6209,11
"528","Colorado School of Trades",156,0
"529","Colorado State University-Fort Collins",33083,54
"530","Colorado Technical University-Colorado Springs",25517,1
"531","Community College of Aurora",8026,5
"532","CollegeAmerica-Denver",139,0
"533","Delta Montrose Technical College",328,0
"534","Community College of Denver",8556,39
"535","Lincoln College of Technology-Denver",916,2
"536","Denver Seminary",908,1
"537","University of Denver",11434,37
"538","Emily Griffith Technical College",4327,4
"539","Fort Lewis College",3332,9
"540","Front Range Community College",19259,5
"541","Iliff School of Theology",286,0
"542","International Salon and Spa Academy",280,0
"543","Lamar Community College",811,3
"544","Colorado Mesa University",9591,9
"545","Metropolitan State University of Denver",20304,34
"546","Morgan Community College",1383,0
"547","Naropa University",966,0
"548","Nazarene Bible College",743,0
"549","Northeastern Junior College",1547,3
"550","University of Northern Colorado",13399,26
"551","Otero Junior College",1330,3
"552","Altierus Career College-Thornton",125,0
"553","Pikes Peak Community College",13275,4
"554","Pueblo Community College",5991,3
"555","Red Rocks Community College",7355,3
"556","Regis University",8341,26
"557","Rocky Mountain College of Art and Design",869,0
"558","Montessori Education Center of the Rockies",75,0
"559","Colorado State University-Pueblo",6639,10
"560","Pickens Technical College",1011,0
"561","Intellitec College-Colorado Springs",635,0
"562","Intellitec College-Grand Junction",842,2
"563","Trinidad State Junior College",1663,6
"564","Empire Beauty School-Thornton",100,0
"565","Western State Colorado University",2814,3
"566","Albertus Magnus College",1464,16
"567","Paul Mitchell the School-Danbury",102,0
"568","Asnuntuck Community College",1870,0
"569","Branford Hall Career Institute-Branford Campus",188,0
"570","University of Bridgeport",5434,19
"571","Central Connecticut State University",11880,25
"572","Connecticut Center for Massage Therapy-Newington",256,0
"573","Connecticut College",1817,21
"574","Porter and Chester Institute of Branford",215,0
"575","University of Connecticut",27578,41
"576","Goodwin College",3410,0
"577","Lincoln Technical Institute-East Windsor",825,1
"578","Eastern Connecticut State University",5282,4
"579","Fairfield University",5192,13
"580","Paul Mitchell the School-North Haven",185,0
"581","Capital Community College",3282,2
"582","Rensselaer at Hartford",41,0
"583","American Institute-West Hartford",405,0
"584","Hartford Seminary",123,0
"585","University of Hartford",6561,22
"586","Holy Apostles College and Seminary",525,0
"587","Housatonic Community College",5138,0
"588","Manchester Community College",6321,0
"589","Naugatuck Valley Community College",6373,1
"590","Middlesex Community College",2682,0
"591","Mitchell College",707,7
"592","Three Rivers Community College",4187,0
"593","Lincoln Technical Institute-New Britain",465,0
"594","New England Tractor Trailer Training School of Connecticut",294,0
"595","University of New Haven",6984,9
"596","Norwalk Community College",5836,1
"597","Northwestern Connecticut Community College",1295,0
"598","Paier College of Art Inc",79,0
"599","Porter and Chester Institute of Stratford",2043,0
"600","Post University",8540,7
"601","Quinebaug Valley Community College",1524,0
"602","Quinnipiac University",10200,19
"603","Sacred Heart University",8543,18
"604","University of Saint Joseph",2405,6
"605","Gateway Community College",7015,0
"606","St Vincent's College",485,0
"607","Southern Connecticut State University",10202,9
"608","Stone Academy-West Haven",581,0
"609","Tri-State College of Acupuncture",123,0
"610","Trinity College",2282,32
"611","Tunxis Community College",3857,0
"612","Wesleyan University",3213,23
"613","Western Connecticut State University",5664,8
"614","Yale University",12974,82
"615","Margaret H Rollins School of Nursing at Beebe Medical Center",59,0
"616","Dawn Career Institute LLC",108,0
"617","Delaware Technical Community College-Terry",14195,0
"618","Delaware State University",4352,78
"619","University of Delaware",23774,19
"620","Goldey-Beacom College",1823,2
"621","Schilling-Douglas School of Hair Design LLC",133,0
"622","Wesley College",1561,2
"623","Wilmington University",14170,0
"624","American University",13858,42
"625","Catholic University of America",6023,7
"626","University of the District of Columbia",4247,3
"627","Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies",102,0
"628","Gallaudet University",1578,50
"629","George Washington University",27973,74
"630","Georgetown University",19005,54
"631","Howard University",9392,47
"632","Strayer University-District of Columbia",959,0
"633","National Conservatory of Dramatic Arts",32,0
"634","Trinity Washington University",1964,0
"635","Wesley Theological Seminary",570,0
"636","The Art Institute of Fort Lauderdale",651,0
"637","Atlantic Technical College",3907,3
"638","The Baptist College of Florida",426,1
"639","Barry University",7358,13
"640","Bethune-Cookman University",4143,12
"641","Lynn University",3010,24
"642","Bradford-Union Technical Center",90,0
"643","Eastern Florida State College",15769,5
"644","Broward College",40754,16
"645","Carlos Albizu University-Miami",1035,0
"646","College of Central Florida",7151,0
"647","Johnson University Florida",187,0
"648","University of Central Florida",66059,77
"649","Charlotte Technical College",215,0
"650","Chipola College",2092,0
"651","Lorenzo Walker Technical College",666,2
"652","Daytona State College",13970,3
"653","South University-West Palm Beach",861,0
"654","Eckerd College",2037,28
"655","Florida SouthWestern State College",15731,2
"656","Edward Waters College",3443,16
"657","Embry-Riddle Aeronautical University-Daytona Beach",6338,6
"658","Florida Agricultural and Mechanical University",9913,18
"659","Florida Atlantic University",30208,62
"660","Florida State College at Jacksonville",21092,14
"661","Flagler College-St Augustine",2689,5
"662","Florida College",508,0
"663","Concorde Career Institute-Jacksonville",621,1
"664","Concorde Career Institute-Miramar",528,0
"665","Concorde Career Institute-Tampa",511,0
"666","Adventist University of Health Sciences",1809,18
"667","Florida Institute of Technology",6402,2
"668","Florida Institute of Ultrasound Inc",80,0
"669","Florida International University",56718,59
"670","Florida Keys Community College",1030,0
"671","Florida Memorial University",1250,6
"672","Florida Career College-Miami",502,2
"673","Florida School of Massage",79,0
"674","Florida Southern College",3055,10
"675","Florida State University",41362,79
"676","Florida Technical College",3989,3
"677","University of Florida",52669,82
"678","Fort Pierce Beauty Academy",30,0
"679","Full Sail University",18605,1
"680","George Stone Technical Center",555,0
"681","George T Baker Aviation Technical College",742,0
"682","Gulf Coast State College",5379,1
"683","Key College",60,2
"684","Hillsborough Community College",27626,0
"685","Hobe Sound Bible College",233,0
"686","Hollywood Institute of Beauty Careers",235,0
"687","Cortiva Institute-Florida",180,0
"688","Indian River State College",17598,3
"689","International Academy",154,0
"690","AI Miami International University of Art and Design",1461,1
"691","Jacksonville University",4222,3
"692","Keiser University-Ft Lauderdale",18335,7
"693","La Belle Beauty School",236,0
"694","Florida Gateway College",3292,0
"695","Lake Technical College",698,1
"696","Lake-Sumter State College",4881,0
"697","Fort Myers Technical College",1086,0
"698","Lively Technical Center",883,0
"699","Lindsey Hopkins Technical College",646,4
"700","Loraines Academy & Spa",113,0
"701","Luther Rice College & Seminary",1022,0
"702","State College of Florida-Manatee-Sarasota",10886,0
"703","Manatee Technical College",803,2
"704","Traviss Technical College",340,0
"705","Merryfield School of Pet Grooming",74,0
"706","Trinity International University-Florida",248,0
"707","Miami Lakes Educational Center and Technical College",638,0
"708","Miami Dade College",56001,21
"709","University of Miami",17003,31
"710","Orange Technical College-Mid Florida Campus",2334,0
"711","Beauty Schools of America-Miami",221,0
"712","Paul Mitchell the School-Jacksonville",194,0
"713","North Florida Community College",1367,0
"714","University of North Florida",16309,16
"715","Nova Southeastern University",20793,18
"716","Northwest Florida State College",5727,1
