"College","Admission.Rate","ACT.score","SAT.score","Female.Proportion","Married","Tuition.Fee.in.state","Tuition.Fee.out.state","Website","Region","State","City","City.size","Control","Highest.Degree","Rank","Unemployment.Rate","Mean.Earnings.Students","Mean.Earnings.Female.Students","Mean.Earnings.Male.Students","Share.of.Students.Earning.over..25.000.year","Crime"
"Miller-Motte College-Cary","NULL","NULL","NULL","0.851903528","0.2190552123","10584","10584","www.miller-motte.edu","Southeast","NC","Cary","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",0
"Miller-Motte College-Fayetteville","NULL","NULL","NULL","0.851903528","0.2190552123","10692","10692","www.miller-motte.edu","Southeast","NC","Fayetteville","City","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",0
"Miller-Motte College-Greenville","NULL","NULL","NULL","0.812195122","0.2032998565","10913","10913","www.miller-motte.edu","Southeast","NC","Greenville","City","Private for profit","Associate degree","Rank over 230",5.58,"25600","24000","32800","0.45",NA
"Miller-Motte College-Jacksonville","NULL","NULL","NULL","0.851903528","0.2190552123","10560","10560","www.miller-motte.edu","Southeast","NC","Jacksonville","City","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",0
"Miller-Motte College-Raleigh","NULL","NULL","NULL","0.851903528","0.2190552123","10748","10748","www.miller-motte.edu","Southeast","NC","Raleigh","City","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",0
"Miller-Motte College-Wilmington","NULL","NULL","NULL","0.812195122","0.2032998565","10595","10595","www.miller-motte.edu","Southeast","NC","Wilmington","City","Private for profit","Bachelor's degree","Rank over 230",1.83,"25600","24000","32800","0.45",0
"Miller-Motte Technical College-Augusta","NULL","NULL","NULL","0.812195122","0.2032998565","10920","10920","www.miller-motte.edu","Southeast","GA","Augusta","City","Private for profit","Associate degree","Rank over 230",5.58,"25600","24000","32800","0.45",0
"Miller-Motte Technical College-Charleston","NULL","NULL","NULL","0.812195122","0.2032998565","10496","10496","miller-motte.edu","Southeast","SC","Charleston","City","Private for profit","Associate degree","Rank over 230",1.83,"25600","24000","32800","0.45",1
"Miller-Motte Technical College-Chattanooga","NULL","NULL","NULL","0.812195122","0.2032998565","10692","10692","www.miller-motte.edu","Southeast","TN","Chattanooga","City","Private for profit","Associate degree","Rank over 230",1.83,"25600","24000","32800","0.45",0
"Miller-Motte Technical College-Clarksville","NULL","NULL","NULL","0.812195122","0.2032998565","9800","9800","www.miller-motte.edu","Southeast","TN","Clarksville","City","Private for profit","Associate degree","Rank over 230",1.83,"25600","24000","32800","0.45",NA
"Miller-Motte Technical College-Columbus","NULL","NULL","NULL","0.812195122","0.2032998565","10542","10542","www.miller-motte.edu","Southeast","GA","Columbus","City","Private for profit","Associate degree","Rank over 230",5.58,"25600","24000","32800","0.45",0
"Miller-Motte Technical College-Conway","NULL","NULL","NULL","0.851903528","0.2190552123","10080","10080","www.miller-motte.edu","Southeast","SC","Conway","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",0
"Miller-Motte Technical College-Gulfport","NULL","NULL","NULL","0.7349958893","0.1507262264","10500","10500","www.miller-motte.edu","Southeast","MS","Gulfport","City","Private for profit","Associate degree","Rank over 230",5.58,"27100","25000","33300","0.495",NA
"Miller-Motte Technical College-Lynchburg","NULL","NULL","NULL","0.851903528","0.2190552123","10288","10288","www.miller-motte.edu/","Southeast","VA","Lynchburg","City","Private for profit","Associate degree","Rank over 230",1.26,"24100","23800","26300","0.339",NA
"Miller-Motte Technical College-Macon","NULL","NULL","NULL","0.7349958893","0.1507262264","11700","11700","www.miller-motte.edu","Southeast","GA","Macon","City","Private for profit","Associate degree","Rank over 230",5.58,"27100","25000","33300","0.495",0
"Miller-Motte Technical College-Madison","NULL","NULL","NULL","0.812195122","0.2032998565","10800","10800","miller-motte.edu","Southeast","TN","Madison","City","Private for profit","Associate degree","Rank over 230",5.58,"25600","24000","32800","0.45",NA
"Miller-Motte Technical College-Roanoke","NULL","NULL","NULL","0.851903528","0.2190552123","10588","10588","www.miller-motte.edu","Southeast","VA","Roanoke","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"24100","23800","26300","0.339",NA
"Millersville University of Pennsylvania","0.6948","22","1030","0.568294823","0.0450424101","11494","20854","www.millersville.edu","Mid East","PA","Millersville","Suburb","Public","Graduate degree","Rank over 230",0.95,"46000","40800","51800","0.796",11
"Milligan College","0.7215","25","1108","0.6231155779","0.108040201","31450","31450","www.milligan.edu","Southeast","TN","Milligan College","Suburb","Private nonprofit","Graduate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",1
"Millikin University","0.638","23","1047","0.5449041372","0.0474268416","31824","31824","https://www.millikin.edu","Great Lakes","IL","Decatur","City","Private nonprofit","Graduate degree","Rank over 230",1.6,"47200","43700","52100","0.811",6
"Mills College","0.8441","26","1109","PrivacySuppressed","0.0344036697","45635","45635","https://www.mills.edu","Far West","CA","Oakland","City","Private nonprofit","Graduate degree","Rank over 230",1.9,"49500","PrivacySuppressed","PrivacySuppressed","0.663",19
"Millsaps College","0.5915","26","1161","0.4971264368","PrivacySuppressed","37110","37110","www.millsaps.edu","Southeast","MS","Jackson","City","Private nonprofit","Graduate degree","Rank over 230",1.95,"54500","50400","58200","0.801",18
"Milwaukee Area Technical College","NULL","NULL","NULL","0.5828906144","0.0848658221","4426","6381","matc.edu","Great Lakes","WI","Milwaukee","City","Public","Associate degree","Rank over 230",3.15,"33500","31500","36700","0.61",3
"Milwaukee Career College","0.6","NULL","NULL","0.9479452055","0.095890411","NULL","NULL","www.mkecc.edu","Great Lakes","WI","Milwaukee","Suburb","Private for profit","Associate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Milwaukee Institute of Art & Design","0.6074","NULL","NULL","0.6534391534","PrivacySuppressed","35020","35020","www.miad.edu","Great Lakes","WI","Milwaukee","City","Private nonprofit","Bachelor's degree","Rank over 230",1.22,"37500","34300","40800","0.626",3
"Milwaukee School of Engineering","0.6631","28","1245","0.2927970065","0.0374181478","37980","37980","www.msoe.edu","Great Lakes","WI","Milwaukee","City","Private nonprofit","Graduate degree","Rank over 230",1.22,"71100","61300","73500","0.901",3
"Mims Classic Beauty College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.mimsclassic.com","Southwest","TX","San Antonio","City","Private for profit","Certificate degree","Rank over 230",1.46,"23100","PrivacySuppressed","PrivacySuppressed","0.303",0
"Mind Body Institute","NULL","NULL","NULL","0.7272727273","0.2363636364","NULL","NULL","mindbody.edu","Southeast","TN","Nashville","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Mineral Area College","NULL","NULL","NULL","0.6219839142","0.1554959786","3280","5770","www.mineralarea.edu","Plains","MO","Park Hills","Town","Public","Associate degree","Rank over 230",1.87,"29900","25700","37600","0.535",3
"Mineral County Vocational Technical Center","NULL","NULL","NULL","PrivacySuppressed","0.3703703704","NULL","NULL","boe.mine.k12.wv.us/mineralcountytechnicalcenter_home.aspx","Southeast","WV","Keyser","Town","Public","Certificate degree","Rank over 230",1.94,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mingo Extended Learning Center","NULL","NULL","NULL","PrivacySuppressed","0.3571428571","NULL","NULL","mingoadultlearningcenter.com","Southeast","WV","Delbarton","Rural","Public","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Minneapolis Business College","NULL","NULL","NULL","0.625","PrivacySuppressed","14720","14720","minneapolisbusinesscollege.edu","Plains","MN","Roseville","Suburb","Private for profit","Associate degree","Rank over 230",1.12,"34900","33000","40500","0.745",0
"Minneapolis College of Art and Design","0.6525","23","1069","0.661498708","PrivacySuppressed","36548","36548","MCAD.EDU","Plains","MN","Minneapolis","City","Private nonprofit","Graduate degree","Rank over 230",1.06,"43200","40500","46500","0.644",0
"Minneapolis Community and Technical College","NULL","NULL","NULL","0.5485792851","0.091888176","5349","5349","www.minneapolis.edu","Plains","MN","Minneapolis","City","Public","Associate degree","Rank over 230",1.78,"37700","34000","41500","0.612",15
"Minneapolis Media Institute","NULL","NULL","NULL","0.6207142857","0.1128571429","10265","10265","www.mediainstitute.edu/minneapolis-media-institute","Plains","MN","Edina","Suburb","Private for profit","Bachelor's degree","Rank over 230",5.58,"34400","PrivacySuppressed","PrivacySuppressed","0.568",NA
"Minnesota School of Cosmetology-Plymouth Campus","NULL","NULL","NULL","0.9641791045","0.128358209","NULL","NULL","www.msccollege.edu/","Plains","MN","Plymouth","City","Private for profit","Certificate degree","Rank over 230",5.58,"27200","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Minnesota School of Cosmetology-Woodbury Campus","NULL","NULL","NULL","0.9641791045","0.128358209","NULL","NULL","www.msccollege.edu","Plains","MN","WOODBURY","Suburb","Private for profit","Certificate degree","Rank over 230",1.06,"27200","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Minnesota State College Southeast","NULL","NULL","NULL","0.5365141188","0.1684518014","5590","5590","www.southeastmn.edu","Plains","MN","Winona","Town","Public","Associate degree","Rank over 230",1.06,"37700","33400","42600","0.657",1
"Minnesota State Community and Technical College","NULL","NULL","NULL","0.5467872739","0.1344354336","5338","5338","www.minnesota.edu","Plains","MN","Fergus Falls","Town","Public","Associate degree","Rank over 230",1.38,"39200","32200","47300","0.672",3
"Minnesota State University Moorhead","0.5961","23","1049","0.5961895911","0.0729553903","8114","15250","www.mnstate.edu/","Plains","MN","Moorhead","Suburb","Public","Graduate degree","Rank over 230",1.22,"44900","38800","52900","0.779",6
"Minnesota State University-Mankato","0.6249","22","1029","0.5695216908","0.0411568409","7858","15602","www.mnsu.edu","Plains","MN","Mankato","City","Public","Graduate degree","Rank over 230",0.84,"48400","42400","55400","0.822",15
"Minnesota West Community and Technical College","NULL","NULL","NULL","0.565471226","0.1684737281","5640","10736","www.mnwest.edu","Plains","MN","Granite Falls","Town","Public","Associate degree","Rank over 230",0.93,"37900","30800","45400","0.667",0
"Minot State University","0.5981","21","975","0.6205450734","0.1572327044","6568","6568","www.minotstateu.edu","Plains","ND","Minot","Town","Public","Graduate degree","Rank over 230",1.23,"46900","37700","61300","0.724",2
"MiraCosta College","NULL","NULL","NULL","0.6114732725","0.1970882225","1152","6216","www.miracosta.edu","Far West","CA","Oceanside","Suburb","Public","Associate degree","Rank over 230",1.37,"34300","30700","40600","0.575",2
"Mirrer Yeshiva Cent Institute","0.8889","NULL","NULL","PrivacySuppressed","PrivacySuppressed","6980","6980","www.mirreryeshiva.com","Mid East","NY","Brooklyn","City","Private nonprofit","Graduate degree","Rank over 230",2.37,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Misericordia University","0.7444","24","1060","0.6512488437","0.065679926","30740","30740","www.misericordia.edu","Mid East","PA","Dallas","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.14,"54400","52500","60100","0.85",2
"Mission Beauty Institute","NULL","NULL","NULL","PrivacySuppressed","0.3382352941","NULL","NULL","www.missionbeautycollege.com","Southwest","TX","Mission","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Mission College","NULL","NULL","NULL","0.5887305699","0.1819948187","1185","6105","www.missioncollege.edu/","Far West","CA","Santa Clara","City","Public","Associate degree","Rank over 230",1.02,"42700","39100","48800","0.603",7
"Mississippi College","0.4947","25","1122","0.6217257319","0.0562403698","16740","16740","www.mc.edu","Southeast","MS","Clinton","Suburb","Private nonprofit","Graduate degree","Rank over 230",2.05,"44900","39200","53200","0.744",4
"Mississippi College of Beauty Culture","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","hatfieldsinc.com","Southeast","MS","Laurel","Town","Private for profit","Certificate degree","Rank over 230",1.94,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Mississippi Delta Community College","NULL","NULL","NULL","0.5688806888","0.0387453875","2650","4258","www.msdelta.edu/","Southeast","MS","Moorhead","Town","Public","Associate degree","Rank over 230",4.8,"27200","24800","31200","0.456",13
"Mississippi Gulf Coast Community College","NULL","NULL","NULL","0.593955095","0.1227979275","3272","6072","https://www.mgccc.edu","Southeast","MS","Perkinston","Rural","Public","Associate degree","Rank over 230",2.16,"32400","28300","40400","0.541",12
"Mississippi Institute of Aesthetics Nails & Cosmetology","NULL","NULL","NULL","PrivacySuppressed","0.1956521739","NULL","NULL","msinstitute.com/","Southeast","MS","Clinton","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Mississippi State University","0.5567","25","1125","0.5395308427","0.0443092963","7780","20900","www.msstate.edu","Southeast","MS","Mississippi State","Town","Public","Graduate degree","177",2.46,"47400","37700","56000","0.777",44
"Mississippi University for Women","0.988","21","1021","0.8681318681","0.1831501832","6065","16634","www.muw.edu","Southeast","MS","Columbus","Town","Public","Graduate degree","Rank over 230",2.56,"38900","37600","45700","0.674",3
"Mississippi Valley State University","0.8445","17","825","0.5717970765","0.0154772141","6116","6116","www.mvsu.edu","Southeast","MS","Itta Bena","Town","Public","Graduate degree","Rank over 230",4.68,"27200","24500","31000","0.449",12
"Missouri Baptist University","0.512","21","968","0.5504014273","0.1382694023","24924","24924","www.mobap.edu","Plains","MO","Saint Louis","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.49,"39200","35200","45200","0.725",3
"Missouri College of Cosmetology North","NULL","NULL","NULL","PrivacySuppressed","0.3235294118","NULL","NULL","www.missouricosmo.com","Plains","MO","Springfield","City","Private for profit","Certificate degree","Rank over 230",1.5,"20600","PrivacySuppressed","PrivacySuppressed","0.141",3
"Missouri School of Barbering","NULL","NULL","NULL","NULL","NULL","NULL","NULL","americancollegeofhair.com","Plains","MO","Florissant","Suburb","Private for profit","Certificate degree","Rank over 230",3.33,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA
"Missouri Southern State University","0.9434","21","990","0.6070256074","0.1474064347","5523","10568","www.mssu.edu","Plains","MO","Joplin","City","Public","Graduate degree","Rank over 230",1.65,"38100","32600","44600","0.669",25
"Missouri State University-Springfield","0.8438","24","1090","0.6103059581","0.0752818035","7060","14110","www.missouristate.edu","Plains","MO","Springfield","City","Public","Graduate degree","Rank over 230",1.2,"44500","39200","50900","0.749",46
"Missouri State University-West Plains","NULL","NULL","NULL","0.6285714286","0.1763546798","3880","7450","www.wp.missouristate.edu","Plains","MO","West Plains","Town","Public","Associate degree","Rank over 230",1.77,"31800","27600","38000","0.547",0
"Missouri University of Science and Technology","0.7933","28","1265","0.2413201886","0.0227175311","9057","25173","www.mst.edu/","Plains","MO","Rolla","Town","Public","Graduate degree","157",1.21,"72400","56800","76300","0.856",9
"Missouri Valley College","0.4649","NULL","NULL","0.3628140704","0.0140703518","19750","19750","www.moval.edu","Plains","MO","Marshall","Town","Private nonprofit","Graduate degree","Rank over 230",1.36,"38100","32400","42000","0.688",23
"Missouri Western State University","NULL","NULL","NULL","0.6189039718","0.0749120161","7330","13070","https://www.missouriwestern.edu","Plains","MO","Saint Joseph","City","Public","Graduate degree","Rank over 230",1.55,"38200","34500","43100","0.667",6
"Mitchell College","0.8756","NULL","NULL","0.4362416107","PrivacySuppressed","31780","31780","www.mitchell.edu","New England","CT","New London","City","Private nonprofit","Bachelor's degree","Rank over 230",1.18,"34000","31400","36400","0.609",7
"Mitchell Community College","NULL","NULL","NULL","0.6323268206","0.1660746004","2631","8775","www.mitchellcc.edu","Southeast","NC","Statesville","Suburb","Public","Associate degree","Rank over 230",0.96,"27700","26400","31500","0.463",0
"Mitchell Hamline School of Law","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.mitchellhamline.edu","Plains","MN","Saint Paul","City","Private nonprofit","Graduate degree","Rank over 230",1.07,"95600","85500","109500","0.875",1
"Mitchell Technical Institute","NULL","NULL","NULL","0.3036848793","0.0571791614","6432","6432","https://www.mitchelltech.edu","Plains","SD","Mitchell","Rural","Public","Associate degree","Rank over 230",0.4,"45400","29500","53000","0.715",0
"Mitchell's Hair Styling Academy-Raleigh","NULL","NULL","NULL","PrivacySuppressed","0.1717171717","NULL","NULL","www.mitchells.edu","Southeast","NC","Raleigh","Suburb","Private for profit","Certificate degree","Rank over 230",1.08,"25400","PrivacySuppressed","PrivacySuppressed","0.331",NA
"Mitchells Hairstyling Academy-Wilson","NULL","NULL","NULL","PrivacySuppressed","0.1717171717","NULL","NULL","WWW.MITCHELLS.EDU","Southeast","NC","Wilson","Town","Private for profit","Certificate degree","Rank over 230",1.08,"25400","PrivacySuppressed","PrivacySuppressed","0.331",0
"Mitsu Sato Hair Academy","NULL","NULL","NULL","PrivacySuppressed","0.2678571429","NULL","NULL","www.mitsusatohairacademy.com","Plains","KS","Overland Park","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"MJ's Beauty Academy Inc","NULL","NULL","NULL","0.9090909091","PrivacySuppressed","NULL","NULL","www.mjsbeautyacademy.edu","Southwest","TX","Dallas","City","Private for profit","Certificate degree","Rank over 230",3.35,"20800","PrivacySuppressed","PrivacySuppressed","0.28",NA
"MKG Beauty & Business","NULL","NULL","NULL","PrivacySuppressed","0.112","NULL","NULL","www.avedainstituteri.edu","New England","RI","Cranston","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Moberly Area Community College","NULL","NULL","NULL","0.5923824959","0.1118314425","3120","6360","www.macc.edu","Plains","MO","Moberly","Town","Public","Associate degree","Rank over 230",1.18,"32100","28500","38800","0.6",3
"Model College of Hair Design","NULL","NULL","NULL","PrivacySuppressed","0.1146496815","NULL","NULL","www.modelcollegeofhairdesign.com","Plains","MN","Saint Cloud","City","Private for profit","Certificate degree","Rank over 230",1.11,"25800","PrivacySuppressed","PrivacySuppressed","0.407",0
"Modern Beauty Academy","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.modernbeautyacademy.org","Far West","CA","Oxnard","City","Private for profit","Certificate degree","Rank over 230",2.36,"23600","PrivacySuppressed","PrivacySuppressed","0.393",0
"Modern Hairstyling Institute-Arecibo","1","NULL","NULL","0.7736842105","0.0789473684","NULL","NULL","www.modern.edu","Outlying Areas","PR","Arecibo","City","Private for profit","Certificate degree","Rank over 230",5.26,"15100","PrivacySuppressed","PrivacySuppressed","0.161",0
"Modern Hairstyling Institute-Bayamon","1","NULL","NULL","0.6200345423","0.0483592401","NULL","NULL","www.modern.edu","Outlying Areas","PR","Bayamon","Suburb","Private for profit","Certificate degree","Rank over 230",4.03,"18800","16300","24600","0.169",0
"Modern Hairstyling Institute-Carolina","1","NULL","NULL","0.6198347107","0.0876033058","NULL","NULL","www.modern.edu","Outlying Areas","PR","Carolina","City","Private for profit","Certificate degree","Rank over 230",4.67,"18400","15800","25700","0.185",0
"Modern Technology School","NULL","NULL","NULL","0.5789473684","0.1644736842","NULL","NULL","https://www.mtschool.edu","Far West","CA","Fountain Valley","City","Private for profit","Certificate degree","Rank over 230",5.58,"44500","41500","48500","0.653",0
"Modern Welding School","NULL","NULL","NULL","PrivacySuppressed","0.1315789474","NULL","NULL","modernwelding.com","Mid East","NY","Schenectady","City","Private for profit","Certificate degree","Rank over 230",1.63,"44200","PrivacySuppressed","PrivacySuppressed","0.654",0
"Modesto Junior College","NULL","NULL","NULL","0.5973788479","0.1088082902","1162","6658","www.mjc.edu","Far West","CA","Modesto","City","Public","Associate degree","Rank over 230",4.75,"36100","33200","41200","0.551",10
"Mohave Community College","NULL","NULL","NULL","0.6301531213","0.2261484099","2112","6972","https://www.mohave.edu","Southwest","AZ","Kingman","Rural","Public","Associate degree","Rank over 230",1.86,"32900","30800","38300","0.545",2
"Mohawk Valley Community College","NULL","NULL","NULL","0.5299483126","0.0836120401","4860","8944","www.mvcc.edu","Mid East","NY","Utica","City","Public","Associate degree","Rank over 230",2.08,"34600","31000","38100","0.602",13
"Moler Barber College","NULL","NULL","NULL","0.1756272401","0.1218637993","NULL","NULL","moler.org","Far West","CA","Oakland","City","Private for profit","Certificate degree","Rank over 230",2.51,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moler Barber College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","molerbarberfargo.com","Plains","ND","Fargo","City","Private for profit","Certificate degree","Rank over 230",2.51,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moler Barber College","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","molerbarberfargo.com","Plains","ND","Fargo","City","Private for profit","Certificate degree","Rank over 230",1.59,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moler Barber College","NULL","NULL","NULL","0.1756272401","0.1218637993","NULL","NULL","moler.org","Far West","CA","Oakland","City","Private for profit","Certificate degree","Rank over 230",1.59,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Moler Hollywood Beauty Academy","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.molerhollywood.com/","Great Lakes","OH","Cincinnati","City","Private for profit","Certificate degree","Rank over 230",3.89,"17600","PrivacySuppressed","PrivacySuppressed","0.19",0
"Moler-Pickens Beauty Academy","NULL","NULL","NULL","PrivacySuppressed","0.15","NULL","NULL","molerhollywood.com","Great Lakes","OH","Fairfield","Suburb","Private for profit","Certificate degree","Rank over 230",1.04,"20400","PrivacySuppressed","PrivacySuppressed","0.326",0
"Molloy College","0.7692","24","1079","0.7482561826","0.0513633481","29100","29100","www.molloy.edu","Mid East","NY","Rockville Centre","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.12,"64100","61400","72200","0.843",0
"Monmouth College","0.5206","23","1045","0.4598825832","PrivacySuppressed","35300","35300","www.monmouthcollege.edu","Great Lakes","IL","Monmouth","Town","Private nonprofit","Bachelor's degree","Rank over 230",1.43,"46500","39800","54000","0.777",11
"Monmouth County Vocational School District","NULL","NULL","NULL","0.8703703704","0.1388888889","NULL","NULL","www.mcvsd.org","Mid East","NJ","Freehold","Suburb","Public","Certificate degree","Rank over 230",1.73,"40500","PrivacySuppressed","PrivacySuppressed","0.6",0
"Monmouth University","0.7729","23","1032","0.5947441217","0.0069156293","35364","35364","www.monmouth.edu","Mid East","NJ","West Long Branch","Suburb","Private nonprofit","Graduate degree","Rank over 230",1.12,"55900","50900","62600","0.817",11
"Monongalia County Technical Education Center","0.6735","NULL","NULL","0.75","0.2833333333","NULL","NULL","mtec.mono.k12.wv.us/","Southeast","WV","Morgantown","City","Public","Certificate degree","Rank over 230",2.06,"34900","PrivacySuppressed","PrivacySuppressed","0.558",0
"Monroe 2 Orleans BOCES-Center for Workforce Development","NULL","NULL","NULL","0.6836158192","0.1694915254","NULL","NULL","www.monroe2cwd.edu","Mid East","NY","Rochester","Suburb","Public","Certificate degree","Rank over 230",5.58,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",0
"Monroe College","0.531","NULL","NULL","0.6136854742","0.0821128451","14460","14460","www.monroecollege.edu","Mid East","NY","Bronx","City","Private for profit","Graduate degree","Rank over 230",4.96,"34700","31700","40600","0.548",30
"Monroe Community College","NULL","NULL","NULL","0.5399512633","0.0646402462","4959","9059","www.monroecc.edu/","Mid East","NY","Rochester","Suburb","Public","Associate degree","Rank over 230",2.44,"35500","32500","39100","0.628",13
"Monroe County Community College","NULL","NULL","NULL","0.5867386276","0.1102544333","3880","6880","www.monroeccc.edu","Great Lakes","MI","Monroe","Rural","Public","Associate degree","Rank over 230",0.75,"35500","31000","45500","0.578",0
"Montage Academy","NULL","NULL","NULL","0.9082568807","0.2385321101","NULL","NULL","montage.academy","Rocky Mountains","CO","Longmont","Suburb","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Montana Academy of Salons","NULL","NULL","NULL","PrivacySuppressed","0.2254901961","NULL","NULL","montanabeautyschool.com","Rocky Mountains","MT","Great Falls","City","Private for profit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Montana State University","0.8287","25","1126","0.4928072339","0.0439786272","6887","23186","www.montana.edu/","Rocky Mountains","MT","Bozeman","Town","Public","Graduate degree","205",1.95,"48900","41300","55500","0.744",18
"Montana State University-Billings","NULL","NULL","NULL","0.6325995807","0.1750524109","5826","18216","www.msubillings.edu","Rocky Mountains","MT","Billings","City","Public","Graduate degree","Rank over 230",1.78,"38700","32500","48500","0.669",7
"Montana State University-Northern","1","19","910","0.4590846047","0.1220527046","5371","17681","www.msun.edu","Rocky Mountains","MT","Havre","Town","Public","Graduate degree","Rank over 230",3.31,"40400","33600","48000","0.691",1
"Montana Tech of the University of Montana","0.8893","24","1109","0.3943488943","0.1191646192","6561","19984","www.mtech.edu","Rocky Mountains","MT","Butte","Town","Public","Graduate degree","Rank over 230",2.28,"52100","41500","61400","0.747",0
"Montcalm Community College","NULL","NULL","NULL","0.6648793566","0.1648793566","4440","11040","www.montcalm.edu","Great Lakes","MI","Sidney","Rural","Public","Associate degree","Rank over 230",1.49,"30900","27100","40300","0.551",0
"Montclair State University","0.6613","NULL","NULL","0.6262893414","0.0279026713","12116","20007","www.montclair.edu","Mid East","NJ","Montclair","Suburb","Public","Graduate degree","169",1.79,"52400","48700","57800","0.799",22
"Monteclaro Escuela de Hoteleria y Artes Culinarias","0.7778","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.monteclaro.edu","Outlying Areas","PR","Rio Grande","Suburb","Private nonprofit","Certificate degree","Rank over 230",5.27,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Monterey Peninsula College","NULL","NULL","NULL","0.5708683473","0.1159663866","1174","6238","www.mpc.edu","Far West","CA","Monterey","Suburb","Public","Associate degree","Rank over 230",1.92,"39500","36700","44000","0.567",4
"Montessori Casa International","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.mcidenver.edu","Rocky Mountains","CO","Denver","City","Private nonprofit","Certificate degree","Rank over 230",5.58,"NULL","NULL","NULL","NULL",0
"Montessori Education Center of the Rockies","1","NULL","NULL","PrivacySuppressed","0.5405405405","NULL","NULL","www.mecr.edu","Rocky Mountains","CO","Boulder","City","Private nonprofit","Certificate degree","Rank over 230",1.73,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0
"Montessori Institute of Milwaukee","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","NULL","NULL","www.montessori6-12ami.org","Great Lakes","WI","Milwaukee","City","Private nonprofit","Graduate degree","Rank over 230",NA,"NULL","NULL","NULL","NULL",0
"Montgomery Beauty School","NULL","NULL","NULL","0.6666666667","0.1764705882","NULL","NULL","www.MontgomeryBeautySchool.com","Mid East","MD","Silver Spring","City","Private for profit","Certificate degree","Rank over 230",2.14,"21000","PrivacySuppressed","PrivacySuppressed","0.313",0
"Montgomery College","NULL","NULL","NULL","0.5606943905","0.0996243037","4902","12894","www.montgomerycollege.edu","Mid East","MD","Rockville","City","Public","Associate degree","Rank over 230",1.03,"46000","43600","49100","0.722",4
"Montgomery Community College","NULL","NULL","NULL","0.7197640118","0.2418879056","2537","8681","www.montgomery.edu","Southeast","NC","Troy","Rural","Public","Associate degree","Rank over 230",1.23,"29200","25800","36100","0.488",2
